epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9764,0.78761,3.73177,1.03796,0.70719,0.15846,0.33035,0.27826,0.57969,3.3132,0.86317,0.00327869,0.00327869,0.0704918
2,194.436,0.8834,2.84888,1.01973,0.7264,0.41301,0.49162,0.40386,0.66254,2.6854,0.90099,0.00636288,0.00636288,0.0402427
3,288.622,0.85373,2.27949,1.01518,0.61836,0.74828,0.75175,0.63045,0.6867,2.10412,0.91886,0.00850346,0.00850346,0.0090499
4,382.33,0.85765,2.01345,1.00519,0.89401,0.72201,0.82802,0.71918,0.65614,1.89975,0.90763,0.00694428,0.00694428,0.00694428
5,476.37,0.78919,1.86559,0.98904,0.83552,0.75071,0.87124,0.76527,0.62527,1.76568,0.92445,0.00505,0.00505,0.00505
6,569.97,0.72434,1.63204,0.96057,0.90201,0.84585,0.91176,0.8071,0.56431,1.44489,0.87517,0.00315572,0.00315572,0.00315572
7,670.554,0.68015,1.46818,0.94881,0.96171,0.84069,0.92686,0.84105,0.54372,1.38772,0.88053,0.00154982,0.00154982,0.00154982
8,782.266,0.67798,1.45063,0.93956,0.94878,0.8487,0.93421,0.84399,0.53202,1.3614,0.86933,0.000476796,0.000476796,0.000476796
